年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,0,0,0.171428571,0.645299145,0,0.160305344,0,0.132142857,0,0.20754717,0.571428571,0.186119874,0.21719457,0,0,0,0.234042553,0,0.318181818,0,0.15625,0,0,0,0.238095238,0.416666667,0.210526316,0,1
1904,0,0,0.388888889,0.631840796,0,0.515625,0,0,0.571428571,0.666666667,0.608695652,0.357142857,0,0.375,0,0.4,0.596491228,0,0.380952381,0,0.1,0,0,0,0,0,0,0,0
1908,0,0,0.666666667,0.706940874,0,0.453333333,0,0.140625,0,0.714285714,0.632183908,0.495833333,0.25,0.333333333,0,0.361702128,0.416666667,0,0,0,0.077922078,0,0,0,0.083333333,0,0,0,0
1912,0,0,0.693251534,0.745322245,0,0.457711443,0,0.403669725,0,0.688888889,0.695431472,0.350923483,0.238035264,0,0,0.465116279,0.682080925,0.71875,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0.726315789,0.650176678,0.666666667,0.330143541,0,0.287128713,0.509433962,0.366336634,0.465277778,0.251428571,0.112171838,0.370689655,0,0.485714286,0.431372549,0.608695652,0,0,0.023255814,0,0,0,0.176470588,0,0,0,0
1924,0,0,0.734767025,0.670987039,0.597560976,0.36121673,0,0.362318841,0.420560748,0.405940594,0.515306122,0.235849057,0.125984252,0.370165746,0,0.455555556,0.450592885,0.631578947,0,0,0,0,0,0,0.25,0,0,0,0
1928,0,0,0.712328767,0.679435484,0.540322581,0.338129496,0,0.3828125,0.457446809,0.508928571,0.473684211,0.26744186,0,0.409722222,0,0.459459459,0,0.702702703,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,0.714559387,0.833333333,0.353846154,0,0.368421053,0.655172414,0.536585366,0.71686747,0.541666667,0.340909091,0.505882353,0,0.388888889,0,0.64,0,0,0,0,0,0,0,0,0,0,0
1936,0.819095477,0,0.895522388,0.831181728,0.797687861,0.403846154,0,0.447674419,0.8,0.802816901,0.790229885,0.496402878,0.283950617,0.698324022,0,0.556818182,0,0.785714286,0,0,0,0,0,0,0.238095238,0,0,0,0
1948,0.536585366,0,0.614678899,0.638439581,0.705035971,0.366834171,0,0.279569892,0.458333333,0.455128205,0.5,0.234251969,0.083333333,0.419512195,0,0.583333333,0,0.533333333,0,0,0,0,0,0,0,0,0,0,0
1952,0.782312925,0,0.734693878,0.707589286,0.734693878,0.436853002,0,0.286343612,0.626760563,0.643979058,0.780788177,0.392927308,0.200692042,0.730923695,0,0.639175258,0,0.767676768,0,0,0,0,0,0,0,0,0,0,0
1956,0.544378698,0,0.643356643,0.698914116,0.775147929,0.314606742,0,0.227272727,0.638095238,0.75,0.643410853,0.478417266,0.278538813,0.621118012,0,0.487804878,0,0.723684211,0,0,0,0,0,0,0,0,0,0,0
1960,0.833333333,0,0.668085106,0.753810976,0.815789474,0.341269841,0,0.351724138,0.709302326,0.72,0.779582367,0.607321131,0.35218509,0.690391459,0,0.541666667,0,0.720720721,0,0,0,0,0,0,0,0,0,0,0
1964,0.873015873,0.777777778,0.794392523,0.787265918,0.814814815,0.338315217,0,0.426666667,0.771812081,0.810218978,0.838624339,0.64033264,0.365384615,0.717472119,0,0.490196078,0,0.785714286,0,0,0,0,0,0,0,0,0,0,0
